utterance_id,speaker_id,wav_path,candidate_transcript,verified_transcript,verification_notes,verification_status
con_001,con,resources/snippets/con_001.wav,他让你在那个时间段里拥有了自己,,,candidate_whisper_small
con_002,con,resources/snippets/con_002.wav,哪怕自己是刷抖音的自己,,,candidate_whisper_small
con_003,con,resources/snippets/con_003.wav,我往这里再稍微解释一下,,,candidate_whisper_small
con_004,con,resources/snippets/con_004.wav,其实不落分也是一种,,,candidate_whisper_small
con_005,con,resources/snippets/con_005.wav,刚觉得晚睡晚起少夜,,,candidate_whisper_small
con_006,con,resources/snippets/con_006.wav,晚睡早起也算好夜了,,,candidate_whisper_small
con_007,con,resources/snippets/con_007.wav,因为你可以早睡早起,,,candidate_whisper_small
con_008,con,resources/snippets/con_008.wav,因为你可以为了身体建立方式,,,candidate_whisper_small
con_009,con,resources/snippets/con_009.wav,總睡晚睡,,,candidate_whisper_small
con_010,con,resources/snippets/con_010.wav,哦不太一致我可以給你擠我,,,candidate_whisper_small
con_011,con,resources/snippets/con_011.wav,你没有多两个小时但是你自己的是不是多两个我可以给你解释,,,candidate_whisper_small
pro_001,pro,resources/snippets/pro_001.wav,"你方式要,那它是怎么缓解我们的空虚的",,,candidate_whisper_small
pro_002,pro,resources/snippets/pro_002.wav,没问题没问题 先不着急,,,candidate_whisper_small
pro_003,pro,resources/snippets/pro_003.wav,因為有一個前提性的問題沒有討論,,,candidate_whisper_small
pro_004,pro,resources/snippets/pro_004.wav,只在讲的熬夜所谓的熬夜就是晚睡晚起是吧,,,candidate_whisper_small
pro_005,pro,resources/snippets/pro_005.wav,好我先聊完 都帅玩起,,,candidate_whisper_small
pro_006,pro,resources/snippets/pro_006.wav,既然你是晚睡晚起,,,candidate_whisper_small
pro_007,pro,resources/snippets/pro_007.wav,上班的時間必定也晚,,,candidate_whisper_small
pro_008,pro,resources/snippets/pro_008.wav,你下班的時間必定也晚,,,candidate_whisper_small
pro_009,pro,resources/snippets/pro_009.wav,那你个人的生活空间必定也就这么点,,,candidate_whisper_small
pro_010,pro,resources/snippets/pro_010.wav,你是怎么多出额外的时间来过自己的生活的,,,candidate_whisper_small
pro_011,pro,resources/snippets/pro_011.wav,我的意思是2点睡10点起,,,candidate_whisper_small
pro_012,pro,resources/snippets/pro_012.wav,跟8点睡6点起午,,,candidate_whisper_small
pro_013,pro,resources/snippets/pro_013.wav,我的个人可以支配的,,,candidate_whisper_small
pro_014,pro,resources/snippets/pro_014.wav,日常時間是一致的沒錯吧,,,candidate_whisper_small
pro_015,pro,resources/snippets/pro_015.wav,我多了两个小时,,,candidate_whisper_small
